"","BalusC","Marc Gravell","Greg Hewgill","Jon Skeet","Darin Dimitrov"
"aaabbcbc",0.0,0.00487609309009587,0.005083490850463942,0.0042923547336480156,0.010252346799105038
"aaabbcca",0.0,0.040045243341306797,0.0,0.0,0.08419808949577641
"aaabbccb",0.0,0.0,0.02327450082516982,0.029478487341359567,0.07823306892018897
"aaabbccc",0.0,0.011162470434926004,0.0,0.019652324894239712,0.015646613784037793
"aaabcaac",0.0,0.0,0.07333004116913089,0.0,0.0
"aaabcaba",0.0,0.0,0.036665020584565444,0.0,0.0
"aaabcabb",0.0,0.0,0.0,0.030958897988593467,0.0
"aaabcabc",0.027237745831209297,0.08009048668261359,0.0,0.0,0.0
"aaabcaca",0.0,0.0,0.01163725041258491,0.009826162447119856,0.007823306892018897
"aaabcacb",0.0,0.0,0.0,0.0,0.02464858089889046
"aaabcacc",0.0,0.0,0.0,0.01762562636112074,0.028066029831925472
"aaabcbaa",0.0,0.0,0.0,0.0,0.02464858089889046
"aaabcbab",0.0,0.011162470434926004,0.01163725041258491,0.0,0.015646613784037793
"aaabcbac",0.0,0.040045243341306797,0.02087425571751469,0.0,0.0
"aaabcbba",0.0,0.0,0.02087425571751469,0.0,0.042099044747888205
"aaabcbbb",0.019899559571463422,0.00487609309009587,0.020333963401855767,0.0,0.030757040397315107
"aaabcbbc",0.0,0.044649881739704016,0.02327450082516982,0.0,0.046939841352113376
"aaabcbca",0.0,0.040045243341306797,0.0,0.0,0.07016507457981368
"aaabcbcb",0.0,0.00975218618019174,0.010166981700927884,0.0042923547336480156,0.020504693598210076
"aaabcbcc",0.027237745831209297,0.0,0.0,0.0,0.028066029831925472
"aaabccaa",0.0,0.0,0.07333004116913089,0.0,0.0
"aaabccab",0.0,0.03348741130477801,0.02327450082516982,0.0,0.007823306892018897
"aaabccba",0.01326637304764228,0.00487609309009587,0.03558443595324759,0.0,0.027339591464280097
"aaabccbc",0.0,0.020022621670653398,0.0,0.0,0.028066029831925472
"aaabccca",0.0,0.0,0.01163725041258491,0.029478487341359567,0.046939841352113376
"aaacaabb",0.0,0.03516915025121093,0.0,0.0,0.0
"aaacaabc",0.0,0.0,0.10999506175369632,0.0,0.0
"aaacaacb",0.0,0.0,0.0,0.0,0.02464858089889046
"aaacaacc",0.0,0.020022621670653398,0.0,0.0,0.028066029831925472
"aaacabac",0.0,0.020022621670653398,0.04174851143502938,0.0,0.0
"aaacabbb",0.015184851292502148,0.0,0.0,0.009826162447119856,0.015646613784037793
"aaacabbc",0.0,0.020022621670653398,0.0,0.0,0.014033014915962736
"aaacabca",0.0,0.020022621670653398,0.0,0.0,0.014033014915962736
"aaacabcb",0.027237745831209297,0.0,0.0,0.0,0.042099044747888205
"aaacabcc",0.0,0.0,0.0,0.0,0.02464858089889046
"aaacacba",0.0,0.0,0.02087425571751469,0.01762562636112074,0.0
"aaacacbb",0.0,0.0,0.036665020584565444,0.0,0.0
"aaacacbc",0.0,0.0,0.02087425571751469,0.0,0.014033014915962736
"aaacacca",0.0,0.0,0.0,0.0,0.02464858089889046
"aaacaccb",0.0,0.020022621670653398,0.0,0.0,0.014033014915962736
"aaacbaaa",0.0,0.0,0.036665020584565444,0.0,0.0
"aaacbaac",0.0,0.0,0.02087425571751469,0.0,0.028066029831925472
"aaacbaba",0.0,0.0,0.036665020584565444,0.0,0.0
"aaacbabb",0.0,0.0,0.02327450082516982,0.009826162447119856,0.039116534460094485
"aaacbabc",0.00663318652382114,0.03900874472076696,0.015250472551391824,0.0,0.003417448933035012
"aaacbaca",0.0,0.011162470434926004,0.02327450082516982,0.0,0.023469920676056688
"aaacbacb",0.0,0.044649881739704016,0.01163725041258491,0.0,0.039116534460094485
"aaacbacc",0.0,0.10011310835326699,0.0,0.0,0.08419808949577641
"aaacbbaa",0.0,0.0,0.036665020584565444,0.0,0.0
"aaacbbab",0.0,0.011162470434926004,0.02327450082516982,0.0,0.007823306892018897
"aaacbbac",0.0,0.020022621670653398,0.0,0.0,0.014033014915962736
"aaacbbba",0.0,0.011162470434926004,0.01163725041258491,0.0,0.039116534460094485
"aaacbbbb",0.0,0.01462827927028761,0.010166981700927884,0.0042923547336480156,0.03759193826338513
